time/fps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/n_updates,train/explained_variance,train/value_loss,train/clip_range,train/loss,train/clip_fraction,train/learning_rate,train/std,train/policy_gradient_loss,train/entropy_loss,train/approx_kl
1007,55,955.27,189.52742407000002,111,112640,2010,0.9158486127853394,50.6693068087101,0.2,13.008275985717773,0.083251953125,0.0003,0.5357421636581421,-0.009379326479393057,-3.1309302441775797,0.008551688
1007,56,950.84,189.77059240000003,113,114688,2020,0.2869238257408142,6.102683614939451,0.2,4.021596908569336,0.17880859375,0.0003,0.5375622510910034,-0.004267827596049756,-3.1430179223418238,0.013961451
1006,57,958.36,192.62901287000005,115,116736,2030,0.036020517349243164,5.080516321957111,0.2,0.23493322730064392,0.27880859375,0.0003,0.5397772789001465,-0.00540961432561744,-3.1587502248585224,0.024067048
1006,58,957.69,192.65806249000002,118,118784,2040,0.7925411462783813,39.83600706197321,0.2,37.87767791748047,0.1439453125,0.0003,0.5397270917892456,-0.007244933715264778,-3.1689713902771475,0.009940634
1006,59,947.69,190.05956036000003,120,120832,2050,0.6045645475387573,2.9147762576118112,0.2,0.2902619242668152,0.27802734375,0.0003,0.5375607013702393,-0.004602807830087841,-3.1592437975108623,0.024248619
1005,60,948.31,190.35288725000007,122,122880,2060,0.8848795294761658,48.25052801072597,0.2,11.187860488891602,0.1263671875,0.0003,0.5374597311019897,-0.01149209220748162,-3.146157728880644,0.009745478
1005,61,946.4,191.56642809000002,124,124928,2070,0.9408764243125916,4.0801928661763665,0.2,3.8999521732330322,0.212255859375,0.0003,0.5390583276748657,-0.010036217604647391,-3.152990547567606,0.018099338
1005,62,945.5,191.63023301,126,126976,2080,0.37959837913513184,4.79920255728066,0.2,0.7494489550590515,0.272509765625,0.0003,0.5399211049079895,-0.007157200761139393,-3.155046746134758,0.024584848
1005,63,943.44,191.76612082,128,129024,2090,0.6210955381393433,5.045947047881782,0.2,1.602340579032898,0.219775390625,0.0003,0.5437133312225342,-0.010544704528001603,-3.1722690261900426,0.016150195
1004,64,942.07,190.93944691000002,130,131072,2100,0.434410035610199,4.85196765223518,0.2,0.4879702925682068,0.20126953125,0.0003,0.540381908416748,-0.007673104917921591,-3.17244079336524,0.016472071
1004,65,939.51,191.05370680999997,132,133120,2110,0.9464659690856934,14.48268334530294,0.2,13.556745529174805,0.121435546875,0.0003,0.5395065546035767,-0.00881515831570141,-3.156642048060894,0.010818766
1004,66,929.76,187.42127041999996,134,135168,2120,0.2968701720237732,5.978753786534071,0.2,1.3917443752288818,0.226611328125,0.0003,0.5430780649185181,-0.006776676746085286,-3.1704192847013473,0.022790417
1004,67,932.32,188.42793243999998,136,137216,2130,0.9101587533950806,9.045663475990295,0.2,6.99566125869751,0.210693359375,0.0003,0.5441274046897888,-0.009120899057597854,-3.186013434827328,0.016979344
1004,68,924.3,185.3576984599999,138,139264,2140,0.897081732749939,22.787888862937688,0.2,3.352194309234619,0.163720703125,0.0003,0.5402658581733704,-0.007783432044379879,-3.1758701004087926,0.02088812
1004,69,935.54,190.78667577999994,140,141312,2150,0.9125643372535706,34.10089664086699,0.2,17.708866119384766,0.12294921875,0.0003,0.5405851602554321,-0.008378417213680222,-3.1633996963500977,0.010072454
1003,70,933.62,189.88684164999995,142,143360,2160,-0.4406571388244629,7.035982097871601,0.2,5.466397285461426,0.2537109375,0.0003,0.537041425704956,-0.0069101879562367685,-3.1524093225598335,0.021597821
1003,71,933.1,189.98997841999997,144,145408,2170,0.8560283780097961,10.780940717272461,0.2,5.393383026123047,0.128369140625,0.0003,0.537116289138794,-0.00960428275866434,-3.140275936573744,0.014556428
