#{"t_start": 1760822028.5097833, "env_id": "BipedalWalker-v3"}
r,l,t
-29.461025,1600,1354.786619
-29.69786,1600,1364.584938
-30.924574,1600,1378.368652
-23.629689,1600,1388.093183
-25.142559,1600,1397.712529
-35.905799,1600,1411.410128
-124.828288,102,1412.033486
-27.282681,1600,1421.785118
-40.817432,1600,1431.557168
-58.623807,1600,1445.293622
-36.932536,1600,1455.137639
-25.944171,1600,1464.864625
-81.661104,1600,1478.554703
-118.006866,68,1478.982648
-22.000702,1600,1488.622863
-90.163625,81,1489.112366
-83.706757,1600,1498.744598
-106.316555,1600,1508.450427
-63.231788,1600,1522.164583
-92.151574,1600,1531.810659
-76.724029,1600,1541.534823
-46.291199,1600,1555.432122
-82.901873,1600,1565.182776
-20.253914,1600,1574.875432
-24.710262,1600,1588.637181
-25.228017,1600,1598.37972
-55.162325,827,1603.37623
29.278531,1600,1617.286351
2.260887,1600,1627.112397
-9.456793,1600,1636.876263
-43.981515,1600,1646.642483
-27.099371,1600,1659.770955
-103.641317,1600,1669.34304
-23.563314,1600,1678.921217
-41.503923,1600,1691.809584
-90.98292,1600,1701.422224
-25.773288,1600,1711.092519
-74.140285,1600,1724.910838
-120.497066,86,1725.439918
-125.716769,85,1725.957562
-126.972152,106,1726.607084
-127.751887,117,1727.326833
-124.813025,93,1727.911479
-137.448803,106,1728.553175
-95.493598,1600,1738.192486
-102.819898,1600,1747.949538
-99.140127,755,1755.7954
27.449979,1600,1765.628066
-7.86836,1600,1775.387885
-26.472881,1600,1789.130956
-117.062225,161,1790.120897
-32.436151,1600,1799.887379
-35.499026,1600,1809.639712
-32.308749,1600,1823.390655
-38.43488,1600,1833.023823
-23.999792,1600,1842.773048
-97.433753,1600,1856.485297
-66.582713,1600,1866.392198
-75.877745,1600,1876.163946
-108.511097,1600,1889.920771
-70.436416,1600,1899.646566
-120.959137,97,1900.256171
-72.604131,1600,1909.906758
-64.858695,1600,1919.531043
-66.101304,1600,1933.253339
-57.27345,1600,1942.993535
-70.517285,1600,1952.759965
-51.266822,1600,1966.732638
-134.686875,150,1967.651469
-67.554869,1600,1977.39148
15.707863,1600,1987.162532
12.989589,1600,2000.922397
9.247334,1600,2010.437711
20.454602,1600,2020.15573
