train/entropy_loss,train/n_updates,train/value_loss,train/policy_loss,time/iterations,time/fps,time/time_elapsed,train/learning_rate,train/explained_variance,train/std,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
-5.677588939666748,99,0.3651054799556732,-2.9236323833465576,100,802,0,3e-05,0.5067808628082275,1.0004817247390747,500,,,,
-5.679337978363037,199,0.04849110543727875,-1.3230135440826416,200,808,1,3e-05,-1.797774076461792,1.0008740425109863,1000,,,,
-5.678030014038086,299,0.01504411268979311,-0.10885729640722275,300,810,1,3e-05,-0.9722617864608765,1.0005748271942139,1500,,,,
-5.679666042327881,399,0.13103576004505157,-1.8749445676803589,400,810,2,3e-05,-0.003071427345275879,1.0009820461273193,2000,468.0,-108.99882525,,
-5.681550979614258,499,0.045136187225580215,-1.1559743881225586,500,805,3,3e-05,0.8469300270080566,1.0014547109603882,2500,468.0,-108.99882525,,
-5.681041240692139,599,0.031450070440769196,0.9444042444229126,600,813,3,3e-05,0.2605511546134949,1.0013244152069092,3000,468.0,-108.99882525,,
-5.682607173919678,699,0.19862690567970276,-1.9082072973251343,700,818,4,3e-05,-0.10825860500335693,1.001728892326355,3500,694.4,-110.45773360000001,,
-5.683375835418701,799,0.015745824202895164,-0.612578809261322,800,823,4,3e-05,0.47233861684799194,1.0019218921661377,4000,520.0,-110.96931514285714,,
-5.684082984924316,899,0.04964630305767059,-0.9744717478752136,900,827,5,3e-05,-1.578953504562378,1.0020780563354492,4500,520.0,-110.96931514285714,,
-5.685352325439453,999,0.10591333359479904,1.6134880781173706,1000,829,6,3e-05,-0.39358794689178467,1.0024220943450928,5000,520.0,-110.96931514285714,,
-5.68545389175415,1099,0.060878124088048935,1.2317771911621094,1100,827,6,3e-05,-3.676534652709961,1.0024335384368896,5500,595.0,-110.69124077777776,,
-5.686527252197266,1199,0.04056975618004799,-0.7097011804580688,1200,828,7,3e-05,-14.130345344543457,1.0027227401733398,6000,595.0,-110.69124077777776,,
-5.6875128746032715,1299,0.042872726917266846,-1.055402398109436,1300,828,7,3e-05,0.7459421753883362,1.0029560327529907,6500,595.0,-110.69124077777776,,
-5.68825101852417,1399,0.11790464073419571,-1.7618217468261719,1400,828,8,3e-05,0.6570834517478943,1.0031325817108154,7000,695.5,-109.69851859999999,,
-5.6897807121276855,1499,0.013418497517704964,0.6981120109558105,1500,827,9,3e-05,-0.13241362571716309,1.0035300254821777,7500,695.5,-109.69851859999999,,
-5.690000057220459,1599,0.007008287589997053,-0.3136633336544037,1600,827,9,3e-05,-0.7252148389816284,1.0035605430603027,8000,695.5,-109.69851859999999,,
-5.6914567947387695,1699,0.06924833357334137,1.5057371854782104,1700,827,10,3e-05,-0.6760317087173462,1.003944754600525,8500,695.5,-109.69851859999999,,
-5.693456172943115,1799,0.04756021499633789,1.3775949478149414,1800,826,10,3e-05,0.6984533071517944,1.0044571161270142,9000,718.3333333333334,-109.91532133333332,,
-5.694366455078125,1899,0.007347815670073032,-0.4102349281311035,1900,825,11,3e-05,-2.446688652038574,1.0046899318695068,9500,718.3333333333334,-109.91532133333332,,
-5.695228576660156,1999,0.04053136706352234,0.9456487894058228,,,,3e-05,0.32296597957611084,1.0048797130584717,10000,,,42.0,-118.2615888
,,,,2000,818,12,,,,10000,718.3333333333334,-109.91532133333332,,
-5.696063995361328,2099,0.05239873006939888,1.4180281162261963,2100,819,12,3e-05,0.08252805471420288,1.005112648010254,10500,653.5625,-111.19621749999999,,
-5.697135925292969,2199,0.005075063556432724,-0.13091892004013062,2200,820,13,3e-05,-1.6054415702819824,1.0054012537002563,11000,620.0588235294117,-111.24117247058822,,
-5.697065830230713,2299,0.002364846644923091,-0.32292333245277405,2300,815,14,3e-05,0.38363879919052124,1.0053260326385498,11500,620.0588235294117,-111.24117247058822,,
-5.698937892913818,2399,0.013316906988620758,0.5415160059928894,2400,812,14,3e-05,-10.502617835998535,1.0058127641677856,12000,620.0588235294117,-111.24117247058822,,
-5.701208114624023,2499,0.001331036793999374,0.1652589589357376,2500,812,15,3e-05,0.07799017429351807,1.0063947439193726,12500,674.5,-111.33047838888888,,
-5.701956748962402,2599,0.0024459264241158962,-0.03262646868824959,2600,811,16,3e-05,-24.92330551147461,1.0065858364105225,13000,674.5,-111.33047838888888,,
-5.702744960784912,2699,0.021438950672745705,0.8463457226753235,2700,811,16,3e-05,-1.0960438251495361,1.006791114807129,13500,674.5,-111.33047838888888,,
-5.704619407653809,2799,0.01657356321811676,0.7030803561210632,2800,810,17,3e-05,-2.2587409019470215,1.0072839260101318,14000,665.3333333333334,-112.11125652380952,,
-5.705972194671631,2899,0.0028343789745122194,-0.2869839668273926,2900,810,17,3e-05,-3.3080949783325195,1.0075817108154297,14500,611.7826086956521,-112.12202386956521,,
-5.706369876861572,2999,0.0011118286056444049,-0.11047627031803131,3000,810,18,3e-05,0.43817299604415894,1.0077080726623535,15000,611.7826086956521,-112.12202386956521,,
-5.708233833312988,3099,0.003045721910893917,-0.24606381356716156,3100,810,19,3e-05,0.3429441452026367,1.008181095123291,15500,611.7826086956521,-112.12202386956521,,
-5.709084987640381,3199,0.00406297342851758,0.09175683557987213,3200,810,19,3e-05,0.11163121461868286,1.0083630084991455,16000,608.7307692307693,-112.2961985,,
-5.711087226867676,3299,0.002604047069326043,-0.26066580414772034,3300,810,20,3e-05,-3.980595111846924,1.008894920349121,16500,608.7307692307693,-112.2961985,,
-5.712706089019775,3399,0.019937675446271896,-0.6805307865142822,3400,811,20,3e-05,-12.45826530456543,1.0092849731445312,17000,608.7307692307693,-112.2961985,,
-5.713710784912109,3499,0.06844282895326614,-1.1013468503952026,3500,811,21,3e-05,-0.679340124130249,1.0095605850219727,17500,624.0714285714286,-112.49258160714285,,
-5.715514183044434,3599,0.0037735451478511095,-0.2636723518371582,3600,811,22,3e-05,0.21379458904266357,1.0100061893463135,18000,624.0714285714286,-112.49258160714285,,
-5.717784881591797,3699,0.02528991363942623,0.9202598929405212,3700,812,22,3e-05,-0.17589330673217773,1.0105916261672974,18500,624.0714285714286,-112.49258160714285,,
-5.7190446853637695,3799,0.01392278727144003,-0.7378473877906799,3800,813,23,3e-05,-13.030389785766602,1.0108678340911865,19000,624.0714285714286,-112.49258160714285,,
-5.721166133880615,3899,0.014580676332116127,0.41534367203712463,3900,814,23,3e-05,-0.028359413146972656,1.011411428451538,19500,640.6333333333333,-112.73821956666667,,
-5.722334384918213,3999,0.008175117895007133,0.40728530287742615,,,,3e-05,0.0689612627029419,1.0117279291152954,20000,,,1600.0,-136.8812746
,,,,4000,712,28,,,,20000,640.6333333333333,-112.73821956666667,,
-5.724765777587891,4099,0.003212612122297287,-0.174109548330307,4100,715,28,3e-05,0.14018702507019043,1.0123662948608398,20500,640.6333333333333,-112.73821956666667,,
-5.726035118103027,4199,0.05773172527551651,0.9510542154312134,4200,717,29,3e-05,-0.2838914394378662,1.0126285552978516,21000,671.5806451612904,-112.5992536451613,,
-5.7277350425720215,4299,0.0019500398775562644,-0.19611571729183197,4300,720,29,3e-05,0.39572572708129883,1.013087272644043,21500,671.5806451612904,-112.5992536451613,,
-5.727622032165527,4399,0.000444461329607293,-0.005883269011974335,4400,722,30,3e-05,0.5795772671699524,1.0130665302276611,22000,671.5806451612904,-112.5992536451613,,
-5.727713584899902,4499,0.7383421063423157,-4.215020179748535,4500,724,31,3e-05,0.06515055894851685,1.013097882270813,22500,700.59375,-112.0476584375,,
-5.727646827697754,4599,0.0028475760482251644,0.259328693151474,4600,727,31,3e-05,-1.4980909824371338,1.0130789279937744,23000,647.2857142857143,-112.27472502857144,,
-5.7290568351745605,4699,0.00536674028262496,-0.290651798248291,4700,729,32,3e-05,-3.588423252105713,1.013426661491394,23500,647.2857142857143,-112.27472502857144,,
-5.729315280914307,4799,0.03925195708870888,-0.9498199820518494,4800,731,32,3e-05,-0.4687148332595825,1.013502836227417,24000,647.2857142857143,-112.27472502857144,,
-5.7306013107299805,4899,0.002468320308253169,0.03173448517918587,4900,733,33,3e-05,-0.7462954521179199,1.0138049125671387,24500,673.75,-111.84452175,,
-5.73139762878418,4999,0.007483294699341059,0.3811340928077698,5000,735,34,3e-05,-0.36077654361724854,1.0140169858932495,25000,673.75,-111.84452175,,
-5.731919765472412,5099,0.02567904070019722,-0.39246782660484314,5100,736,34,3e-05,-1.6931519508361816,1.0141611099243164,25500,673.75,-111.84452175,,
-5.7320556640625,5199,0.04204139485955238,0.5101355910301208,5200,738,35,3e-05,0.06511342525482178,1.0141855478286743,26000,698.7837837837837,-111.22394497297296,,
-5.733467102050781,5299,0.0825909972190857,-1.5391920804977417,5300,739,35,3e-05,-0.5077275037765503,1.0145437717437744,26500,698.7837837837837,-111.22394497297296,,
-5.735470771789551,5399,0.012991166673600674,-0.5976175665855408,5400,741,36,3e-05,0.20975136756896973,1.0150630474090576,27000,698.7837837837837,-111.22394497297296,,
-5.735782146453857,5499,0.04264881834387779,1.1809359788894653,5500,742,37,3e-05,-2.030142068862915,1.0151386260986328,27500,722.5,-110.92315034210526,,
-5.73641300201416,5599,0.07319001108407974,1.6994943618774414,5600,744,37,3e-05,0.49967777729034424,1.0153108835220337,28000,722.5,-110.92315034210526,,
-5.736616611480713,5699,0.08020796626806259,1.4992684125900269,5700,745,38,3e-05,-2.6121745109558105,1.0153424739837646,28500,722.5,-110.92315034210526,,
-5.737680435180664,5799,0.086068294942379,1.586061954498291,5800,746,38,3e-05,0.8741319179534912,1.015611171722412,29000,722.5,-110.92315034210526,,
-5.738146781921387,5899,0.06473925709724426,1.0251190662384033,5900,748,39,3e-05,-1.5811684131622314,1.0157159566879272,29500,745.0,-110.20178917948718,,
-5.738824367523193,5999,0.14957618713378906,-2.0956015586853027,,,,3e-05,0.4703976511955261,1.0159025192260742,30000,,,1600.0,-89.36561900000001
,,,,6000,688,43,,,,30000,745.0,-110.20178917948718,,
-5.740094184875488,6099,0.006379535887390375,0.06214488670229912,6100,690,44,3e-05,-0.2730104923248291,1.016222357749939,30500,745.0,-110.20178917948718,,
-5.740256309509277,6199,0.00953309889882803,-0.30115413665771484,6200,692,44,3e-05,-4.608651638031006,1.0162830352783203,31000,749.3170731707318,-109.58614582926832,,
-5.741423606872559,6299,0.007915491238236427,0.2986609935760498,6300,694,45,3e-05,-2.2256295680999756,1.0165752172470093,31500,749.3170731707318,-109.58614582926832,,
-5.742454528808594,6399,0.006684396415948868,0.112923264503479,6400,696,45,3e-05,-0.9144254922866821,1.016837239265442,32000,749.3170731707318,-109.58614582926832,,
-5.744136333465576,6499,0.005651503335684538,0.012765741907060146,6500,698,46,3e-05,0.4033259153366089,1.0172531604766846,32500,753.3255813953489,-108.87613600000003,,
-5.74459981918335,6599,0.007334111724048853,0.5128831267356873,6600,700,47,3e-05,0.3421475291252136,1.0173981189727783,33000,753.3255813953489,-108.87613600000003,,
-5.745698928833008,6699,0.014172910712659359,0.06887562572956085,6700,701,47,3e-05,-0.38028407096862793,1.0176420211791992,33500,753.3255813953489,-108.87613600000003,,
-5.7465949058532715,6799,0.042151302099227905,-0.08572075515985489,6800,703,48,3e-05,0.952251672744751,1.017857313156128,34000,772.5681818181819,-108.56117520454549,,
-5.746682643890381,6899,0.020687248557806015,-0.7134453654289246,6900,705,48,3e-05,-1.455174207687378,1.0179113149642944,34500,772.5681818181819,-108.56117520454549,,
-5.747689723968506,6999,0.0724836140871048,-1.3625980615615845,7000,706,49,3e-05,-0.2281343936920166,1.0181632041931152,35000,772.5681818181819,-108.56117520454549,,
-5.748592376708984,7099,0.003229534951969981,-0.2024049609899521,7100,708,50,3e-05,-0.10948991775512695,1.0184211730957031,35500,772.5681818181819,-108.56117520454549,,
