#{"t_start": 1760833005.378652, "env_id": "BipedalWalker-v3"}
r,l,t
-97.24222,86,697.774021
-92.259708,103,697.830513
113.437818,1281,698.535113
216.569665,1444,711.786289
223.077438,1384,712.506301
221.971363,1388,713.225049
221.025669,1393,713.947912
-93.529491,129,714.018479
-102.677241,65,726.492188
-101.619889,70,726.530972
-101.793772,69,726.569189
-105.633018,72,726.608665
-106.475413,75,726.649487
236.598373,1269,739.755357
229.657326,1336,740.447908
235.05527,1271,741.101849
231.149393,1327,741.78882
231.709709,1322,742.468864
235.825776,1273,755.686953
-61.441007,259,755.824069
67.428703,1016,756.351583
25.760014,814,756.777327
-28.419589,444,757.008845
5.287798,658,769.989684
-30.69432,431,770.21952
-91.886022,107,770.277725
-66.494427,248,770.407918
-10.229644,591,770.715888
227.650881,1341,783.988849
225.36407,1367,784.705752
-20.332218,515,784.977874
-97.116942,93,785.028934
-65.464125,316,785.197378
-33.078594,438,797.892369
64.709314,1076,798.47184
224.539705,1370,799.20002
224.010156,1378,799.92189
227.289236,1339,800.662791
-101.249118,85,813.232005
-94.378206,110,813.292687
-100.214681,119,813.357145
-101.004606,83,813.402888
-96.025255,102,813.458721
-102.205245,65,825.968998
-102.503913,65,826.005765
-102.443733,66,826.042998
-102.222423,64,826.07863
-106.363692,73,826.119719
217.156954,1404,839.440633
218.020243,1382,840.171028
-96.355524,90,840.220955
-95.234945,95,840.273802
-100.555907,80,840.318051
-106.557855,79,852.84816
-106.691754,91,852.899011
54.811582,931,853.397437
-107.495177,76,853.439886
-106.216594,85,853.486667
-109.039397,97,866.117785
-107.839343,90,866.167038
-110.896898,87,866.214335
-111.345171,85,866.260942
-110.898821,87,866.308307
-106.811627,74,878.850382
-103.853103,90,878.899816
-108.436838,98,878.953069
-104.286299,82,878.997749
-108.267106,91,879.047494
-106.75609,93,891.600739
-109.607844,99,891.654379
-108.288339,91,891.704163
-107.761677,91,891.75355
-107.946239,100,891.808102
-106.383107,97,904.379555
-106.604427,96,904.433844
-106.988531,99,904.505011
-102.949654,100,904.576883
-103.925421,93,904.627992
-103.269534,134,917.306987
-101.852532,112,917.367638
-104.934642,101,917.421714
-102.273062,147,917.505205
-102.480228,146,917.583522
219.304351,1357,930.770624
-63.232955,332,930.945075
-52.060876,408,931.159361
-3.392877,705,931.526467
220.884717,1357,932.229757
-51.600589,438,944.980767
-89.442292,190,945.081395
102.307525,1306,945.765913
53.91381,929,946.253032
-72.633439,323,946.424284
-93.302058,247,958.961492
13.94609,748,959.352805
-104.16188,110,959.412189
-50.938603,470,959.657383
-60.041753,353,959.841007
-60.38701,459,972.572276
-100.636402,155,972.654626
-106.201124,162,972.744648
-99.490138,129,972.838181
-99.378428,121,972.918636
-102.027358,144,985.428874
-94.755243,141,985.509171
-108.018514,129,985.57795
-20.677012,538,985.869749
-105.552295,134,985.942746
-86.073273,223,998.553094
-57.747046,308,998.714518
-73.968779,277,998.860563
-91.953193,166,998.951498
-47.22354,461,999.193888
-60.44348,447,1012.050275
-87.75425,245,1012.17922
-35.82034,546,1012.484996
-80.685194,243,1012.613289
65.610062,1033,1013.15095
-64.710772,343,1025.810967
-57.034003,439,1026.052079
215.160237,1388,1026.775052
0.956174,685,1027.129689
-54.557125,423,1027.350308
-54.20295,503,1040.041908
207.228638,1463,1040.800223
-100.112515,194,1040.902928
-69.278412,268,1041.043444
-76.802294,257,1041.177651
-37.557992,493,1053.830194
232.190786,1230,1054.489483
14.333164,804,1054.907327
7.403286,822,1055.333044
-88.862128,162,1055.419903
-119.354587,93,1067.908899
-120.21171,93,1067.957905
-116.400748,47,1067.983742
-116.324108,47,1068.009775
-117.460301,52,1068.038302
-113.73205,65,1080.594083
-115.149338,60,1080.626465
-113.822193,66,1080.662789
-114.872159,60,1080.696622
-115.140481,60,1080.728898
-62.79304,664,1093.453766
-69.704506,399,1093.680839
-68.452217,431,1093.902597
-140.986526,234,1094.022407
-5.783075,824,1094.447538
6.824444,792,1107.381765
-3.323387,676,1107.748161
223.717847,1301,1108.431637
-69.93135,344,1108.61332
223.789413,1305,1109.294538
-23.80171,562,1122.303365
-90.074344,196,1122.408478
-51.053543,396,1122.626818
-52.468861,359,1122.816898
83.212651,1317,1123.508468
8.903424,941,1136.653
78.467223,1085,1137.233788
-38.277349,487,1137.495143
-92.830471,121,1137.562073
76.012298,1166,1138.18029
-101.597607,83,1150.848152
-94.783823,96,1150.901284
-97.921896,106,1150.960246
-99.669877,107,1151.018292
-96.063149,102,1151.074706
-91.434057,118,1163.755825
-90.279685,120,1163.821253
80.166132,1151,1164.444255
226.971665,1276,1165.118821
