train/n_updates,rollout/ep_len_mean,time/time_elapsed,train/actor_loss,train/learning_rate,time/fps,time/episodes,rollout/ep_rew_mean,train/ent_coef_loss,train/ent_coef,train/critic_loss,time/total_timesteps
536010,840.72,1392,-20.789499282836914,0.0003,169,268,306.19459913,-2.611677646636963,0.009053605608642101,0.12003980576992035,236211
539346,839.38,1412,-20.58298683166504,0.0003,169,272,306.33170533,-1.215744972229004,0.009266683831810951,0.11126241832971573,239547
542361,835.6,1430,-19.434154510498047,0.0003,169,276,303.88429956,-0.24300922453403473,0.009277276694774628,3.2188003063201904,242562
545629,833.2,1450,-19.277549743652344,0.0003,169,280,304.05848910000003,1.389066219329834,0.008962326683104038,0.17093691229820251,245830
548827,830.48,1468,-20.573036193847656,0.0003,169,284,304.23561136000006,1.631221055984497,0.009107104502618313,0.16235850751399994,249028
552119,828.49,1488,-20.697372436523438,0.0003,169,288,304.43588509000006,-0.7584640979766846,0.009199551306664944,0.11778724938631058,252320
555390,827.81,1507,-20.105342864990234,0.0003,169,292,304.52232375,-0.21669802069664001,0.009373337030410767,3.889019250869751,255591
558587,825.97,1526,-21.0961856842041,0.0003,169,296,304.67032419,2.2416749000549316,0.009201403707265854,0.11203926056623459,258788
561708,823.26,1545,-20.587966918945312,0.0003,169,300,304.81065315,2.5402607917785645,0.009134865365922451,0.23323485255241394,261909
564952,821.42,1564,-21.162250518798828,0.0003,169,304,304.86136828,-1.14407479763031,0.008852139115333557,0.08485854417085648,265153
568123,819.21,1582,-21.873788833618164,0.0003,169,308,304.98886515000004,1.1418124437332153,0.009403685107827187,0.12344355881214142,268324
571369,817.89,1601,-21.290178298950195,0.0003,169,312,305.08892500999997,-1.169084906578064,0.00932173989713192,0.07076404988765717,271570
574726,817.64,1621,-21.81662368774414,0.0003,169,316,305.12889911999997,1.3857061862945557,0.00900222361087799,0.05197723209857941,274927
577957,816.97,1640,-20.417011260986328,0.0003,169,320,305.22971448,-0.5732591152191162,0.009301112033426762,0.1273496448993683,278158
581262,816.82,1660,-21.47329330444336,0.0003,169,324,305.26806119,1.942308783531189,0.009060277603566647,0.15104390680789948,281463
584529,816.99,1679,-21.94723129272461,0.0003,169,328,306.55934240000005,0.28147220611572266,0.008883057162165642,0.17057497799396515,284730
587787,816.58,1698,-22.235431671142578,0.0003,169,332,306.64451012,-0.6796087026596069,0.009427736513316631,0.08210524171590805,287988
591051,816.97,1718,-22.649364471435547,0.0003,169,336,306.59825643,-0.12594856321811676,0.009464527480304241,0.12989702820777893,291252
594276,815.59,1737,-20.699804306030273,0.0003,169,340,306.70469076,-1.022887945175171,0.009480282664299011,0.09649637341499329,294477
597556,815.1,1756,-21.774553298950195,0.0003,169,344,306.75374077000004,-1.2023842334747314,0.008986539207398891,0.10721448063850403,297757
