time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,train/value_loss,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/explained_variance,train/std,train/loss,eval/mean_ep_length,eval/mean_reward
11,708,31,621.8611111111111,22528,-109.58071502777779,-5.697612349689007,100,0.19508293736726046,0.2,0.0075378376,-0.010258235599030741,0.052392578125,3e-05,0.5434209108352661,1.0056953430175781,0.17242743074893951,,
12,716,34,648.2972972972973,24576,-108.9331135945946,-5.698782220482826,110,0.05265733784763142,0.2,0.0071694134,-0.011796745537139941,0.0740234375,3e-05,-0.47701799869537354,1.0056431293487549,-0.05212043970823288,,
13,724,36,673.3421052631579,26624,-108.15031334210526,-5.6950954556465145,120,0.019581236425437964,0.2,0.006041933,-0.010972900543129072,0.051513671875,3e-05,0.17529624700546265,1.003969430923462,-0.06171104311943054,,
14,731,39,697.1025641025641,28672,-107.24042825641024,-5.693396437168121,130,0.02836537493567448,0.2,0.0061590956,-0.009070781309856103,0.043798828125,3e-05,0.6240728497505188,1.0047911405563354,-0.06359073519706726,,
,,,,30000,,-5.692859978973866,140,0.027267854911042378,0.2,0.007398776,-0.011731791705824435,0.059375,3e-05,0.622562050819397,1.0038187503814697,-0.07837404310703278,70.4,-112.9188326
15,733,41,725.0952380952381,30720,-106.05487835714285,,,,,,,,,,,,,
16,740,44,745.4418604651163,32768,-105.20304758139535,-5.693021884560585,150,0.24195560472435318,0.2,0.0070074024,-0.00922823402506765,0.043115234375,3e-05,0.2799149751663208,1.0050241947174072,-0.043776512145996094,,
17,744,46,764.8636363636364,34816,-104.46441511363636,-5.69548451602459,160,0.042224145645741375,0.2,0.006502893,-0.00898609367723111,0.04541015625,3e-05,0.05343812704086304,1.0048496723175049,-0.05859588831663132,,
18,749,49,801.1739130434783,36864,-103.10373467391304,-5.695811727643013,170,0.03585586426197551,0.2,0.007798563,-0.012346311719738878,0.06513671875,3e-05,0.496474027633667,1.005091667175293,-0.05483612045645714,,
19,754,51,802.3125,38912,-102.82943218749999,-5.692985993623734,180,0.03559838818619028,0.2,0.0073793037,-0.010244909836910666,0.048974609375,3e-05,0.6441633105278015,1.003511905670166,-0.0525108203291893,,
,,,,40000,,-5.690464797616005,190,0.22769575860584154,0.2,0.0045121014,-0.004660182970110327,0.016552734375,3e-05,0.52150559425354,1.0040297508239746,-0.016802068799734116,1600.0,-1.2628198000000004
20,697,58,804.02,40960,-102.28548218,,,,,,,,,,,,,
21,702,61,819.6274509803922,43008,-101.58237690196079,-5.69432462155819,200,0.14213662598049268,0.2,0.0062816767,-0.012325892719672993,0.04521484375,3e-05,0.6499677300453186,1.0054389238357544,-0.029296960681676865,,
22,707,63,849.0754716981132,45056,-100.41226064150942,-5.696358010172844,210,0.062683875777293,0.2,0.007861226,-0.01215694410202559,0.077490234375,3e-05,0.14995348453521729,1.0048861503601074,-0.020620454102754593,,
23,713,66,862.9814814814815,47104,-99.26149983333332,-5.696044187247753,220,0.04253266073646955,0.2,0.008435953,-0.011349110386800022,0.07109375,3e-05,0.6815388202667236,1.0051815509796143,-0.045975927263498306,,
24,717,68,861.875,49152,-98.1741505,-5.6933579504489895,230,0.0386410397477448,0.2,0.0068409187,-0.010521630922448821,0.05654296875,3e-05,0.7086617946624756,1.0035806894302368,-0.07861050963401794,,
,,,,50000,,-5.689518795907498,240,0.13081457947846503,0.2,0.0052766735,-0.007793174163089134,0.034375,3e-05,0.44944101572036743,1.0036044120788574,-0.0066427066922187805,1600.0,52.40986959999999
25,677,75,874.8245614035088,51200,-97.38274250877193,,,,,,,,,,,,,
26,682,77,899.4067796610169,53248,-94.66089950847459,-5.688577632606029,250,0.04846290461719036,0.2,0.0091135595,-0.014636813549441286,0.078173828125,3e-05,0.6637232303619385,1.0027388334274292,-0.06261863559484482,,
