train/n_updates,train/explained_variance,train/value_loss,train/learning_rate,time/iterations,train/policy_loss,time/fps,train/std,time/time_elapsed,train/entropy_loss,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean
62399,-0.17262375354766846,0.722686767578125,0.0007,2400,1.6920028924942017,870,0.48478978872299194,13,-2.532288074493408,12000,101.07,-103.74239170999999
62499,-173.6289825439453,0.008978255093097687,0.0007,2500,0.3124133050441742,870,0.48645228147506714,14,-2.5479907989501953,12500,100.52,-103.73295084
62599,0.9921287894248962,0.0027846277225762606,0.0007,2600,-0.11090143024921417,870,0.489197701215744,14,-2.5685460567474365,13000,100.07,-103.92184776999999
62699,-167.32176208496094,0.2645585238933563,0.0007,2700,1.2505996227264404,870,0.4891996681690216,15,-2.5685887336730957,13500,100.0,-103.89846435
62799,-4.132384300231934,2.2688987255096436,0.0007,2800,-4.616707801818848,870,0.485951691865921,16,-2.540470838546753,14000,100.06,-103.80371301999999
62899,-0.5856924057006836,0.3427445590496063,0.0007,2900,-1.641741156578064,870,0.4848087728023529,16,-2.533665180206299,14500,100.02,-103.67624065000004
62999,-13.987664222717285,0.49460288882255554,0.0007,3000,1.0516852140426636,870,0.48519983887672424,17,-2.529221296310425,15000,100.01,-103.51360143
63099,-8.031220436096191,0.09133259207010269,0.0007,3100,-0.12122692912817001,870,0.4860060214996338,17,-2.5389981269836426,15500,99.18,-103.15387430000001
63199,0.4195575714111328,0.040286432951688766,0.0007,3200,0.4578253924846649,870,0.4861399233341217,18,-2.5459611415863037,16000,99.82,-103.63527704
63299,-0.5296710729598999,0.006107754539698362,0.0007,3300,-0.0820910632610321,870,0.4852946400642395,18,-2.5327656269073486,16500,101.62,-103.75051209000002
63399,-21.651124954223633,0.16844308376312256,0.0007,3400,-1.2529922723770142,871,0.48722681403160095,19,-2.5476789474487305,17000,103.44,-103.77495129999997
63499,0.976057231426239,0.013446161523461342,0.0007,3500,-0.4905591905117035,870,0.48527565598487854,20,-2.531414031982422,17500,104.84,-104.33023308000001
63599,-2.315985679626465,0.15135541558265686,0.0007,3600,-0.433917760848999,870,0.4818723797798157,20,-2.50034499168396,18000,103.69,-104.1404189
63699,0.8011385202407837,0.0721471980214119,0.0007,3700,0.5674183368682861,871,0.4828920364379883,21,-2.5078799724578857,18500,101.62,-103.96416006
63799,-148.23159790039062,0.4362363815307617,0.0007,3800,-0.5489540100097656,871,0.4804432690143585,21,-2.4881577491760254,19000,99.38,-103.79188794
63899,-4.747297763824463,0.6615719199180603,0.0007,3900,-2.1668126583099365,871,0.48021200299263,22,-2.483816623687744,19500,99.72,-103.50268223
63999,-13.850906372070312,0.3786390721797943,0.0007,4000,-1.2693760395050049,871,0.48013854026794434,22,-2.4822263717651367,20000,101.53,-103.55823674999999
64099,0.47478312253952026,0.29203349351882935,0.0007,4100,1.3213400840759277,871,0.48030897974967957,23,-2.4766640663146973,20500,102.64,-104.14292632
64199,-10.94192123413086,0.09229215234518051,0.0007,4200,0.411527544260025,871,0.4805854856967926,24,-2.481843948364258,21000,95.85,-104.23054384000002
64299,0.16965419054031372,3676.427490234375,0.0007,4300,-182.99949645996094,871,0.47704726457595825,24,-2.458418846130371,21500,96.96,-104.41929406999999
64399,-0.5465803146362305,0.20124785602092743,0.0007,4400,0.30502650141716003,871,0.4771480858325958,25,-2.458062171936035,22000,96.03,-104.35467984000003
64499,-104.58695220947266,1.0598829984664917,0.0007,4500,-1.0985287427902222,870,0.48009514808654785,25,-2.488483428955078,22500,95.26,-104.26222205
64599,0.22264474630355835,0.11538242548704147,0.0007,4600,-0.3917158842086792,870,0.4804280996322632,26,-2.488274097442627,23000,93.47,-104.19793704
64699,-5.057939529418945,0.6848100423812866,0.0007,4700,0.9525481462478638,870,0.47813880443573,26,-2.465824604034424,23500,93.47,-104.06178299999999
64799,-21.08517837524414,0.03495700657367706,0.0007,4800,0.4122825264930725,870,0.4782772362232208,27,-2.4616622924804688,24000,93.82,-104.29991198999998
64899,-0.7664880752563477,0.17402121424674988,0.0007,4900,-0.8468250632286072,870,0.47961267828941345,28,-2.4772942066192627,24500,95.79,-104.46850768
64999,0.5732662677764893,0.6861318945884705,0.0007,5000,-1.2520521879196167,870,0.4804885685443878,28,-2.4889938831329346,25000,99.02,-104.72001556000001
65099,nan,7.275957722603643e-13,0.0007,5100,-0.0,870,0.47714120149612427,29,-2.459439992904663,25500,99.73,-104.94904261000002
65199,-4.199999809265137,1.0913936854956008e-12,0.0007,5200,1.3135490917193238e-08,871,0.4771409034729004,29,-2.4594380855560303,26000,99.73,-104.94904261000002
65299,-0.4799998998641968,2.7284841053187847e-12,0.0007,5300,2.6300365334464004e-06,871,0.4771404564380646,30,-2.4594311714172363,26500,99.73,-104.94904261000002
65399,-12.295801162719727,0.8616523742675781,0.0007,5400,-2.443056106567383,871,0.47764962911605835,30,-2.4607322216033936,27000,114.9,-105.7237552
65499,-29.295185089111328,0.31619566679000854,0.0007,5500,0.6670040488243103,869,0.48169419169425964,31,-2.494723320007324,27500,116.99,-105.82539358
65599,-0.013522982597351074,0.00740797957405448,0.0007,5600,-0.1565394103527069,868,0.48230165243148804,32,-2.4891762733459473,28000,117.26,-105.40456595000002
65699,-172.2564239501953,0.015234789811074734,0.0007,5700,-0.15064094960689545,868,0.48348650336265564,32,-2.4913206100463867,28500,117.26,-105.40456595000002
65799,-2.013333320617676,2.2737367544323206e-11,0.0007,5800,6.96901724950294e-06,867,0.4829268455505371,33,-2.490346670150757,29000,117.26,-105.40456595000002
65899,-2.2115578651428223,0.0139429597184062,0.0007,5900,-0.2390701323747635,865,0.484415739774704,34,-2.4988067150115967,29500,132.43,-105.76401508000002
65999,-0.000986933708190918,1.5043638995848596e-05,0.0007,6000,0.00673291552811861,865,0.4848063588142395,34,-2.500901222229004,30000,132.43,-105.76401508000002
66099,0.0053975582122802734,1.220227261455875e-07,0.0007,6100,0.0009012074442580342,865,0.4840167760848999,35,-2.4925267696380615,30500,132.43,-105.76401508000002
66199,6.186962127685547e-05,0.00011067150626331568,0.0007,6200,0.043141208589076996,866,0.48318397998809814,35,-2.474658966064453,31000,132.43,-105.76401508000002
66299,nan,1.0913936854956008e-12,0.0007,6300,7.245897108987265e-07,866,0.48780208826065063,36,-2.5094287395477295,31500,147.74,-106.51976337
66399,-0.0007485151290893555,2.351225658614453e-09,0.0007,6400,-9.697922359919176e-05,866,0.4878082275390625,36,-2.509460926055908,32000,147.74,-106.51976337
66499,-0.002050042152404785,2.444023493808345e-06,0.0007,6500,-0.004217904061079025,867,0.4912945628166199,37,-2.535306215286255,32500,147.74,-106.51976337
66599,-1.496589183807373,1.096935749053955,0.0007,6600,-1.9730644226074219,867,0.49221915006637573,38,-2.5422534942626953,33000,163.4,-107.35975394
66699,-0.907158613204956,0.4340589642524719,0.0007,6700,1.9416173696517944,867,0.49497538805007935,38,-2.5641984939575195,33500,163.05,-107.20074341
66799,-0.06987595558166504,1.3473254734108764e-09,0.0007,6800,-5.7650788221508265e-05,867,0.4983903169631958,39,-2.58243989944458,34000,163.05,-107.20074341
66899,-1.0,8.003553549074116e-12,0.0007,6900,-5.338234586815815e-06,868,0.49838998913764954,39,-2.5824403762817383,34500,163.05,-107.20074341
66999,-27.425968170166016,0.0719650611281395,0.0007,7000,-0.42210155725479126,868,0.49928978085517883,40,-2.5889344215393066,35000,178.16,-107.54473623999998
67099,nan,0.0,0.0007,7100,-0.0,869,0.49849361181259155,40,-2.5832643508911133,35500,178.16,-107.54473623999998
67199,nan,0.0,0.0007,7200,-0.0,869,0.49849361181259155,41,-2.5832643508911133,36000,178.16,-107.54473623999998
67299,nan,0.0,0.0007,7300,-0.0,869,0.49849361181259155,41,-2.5832643508911133,36500,178.16,-107.54473623999998
67399,-0.7999999523162842,5.729816621169448e-11,0.0007,7400,1.4941574590920936e-05,869,0.4981423616409302,42,-2.567831039428711,37000,192.04,-107.90893088999998
67499,-0.00010454654693603516,4.103730316273868e-05,0.0007,7500,-0.0151300597935915,870,0.49814099073410034,43,-2.567922353744507,37500,192.04,-107.90893088999998
67599,-1.6787381172180176,0.16148741543293,0.0007,7600,-0.7697656154632568,870,0.49547991156578064,43,-2.545746326446533,38000,192.04,-107.90893088999998
67699,-0.7349635362625122,0.20368003845214844,0.0007,7700,-0.7253071665763855,870,0.49672645330429077,44,-2.5512962341308594,38500,205.0,-109.28370490000002
67799,0.7715286016464233,0.10529029369354248,0.0007,7800,-0.6810145974159241,870,0.4995823800563812,44,-2.571225881576538,39000,206.35,-109.39744724000002
67899,0.26671314239501953,0.10413602739572525,0.0007,7900,0.5299014449119568,870,0.49907752871513367,45,-2.561927556991577,39500,207.59,-109.60717510999997
67999,0.23762035369873047,5769.9677734375,0.0007,8000,-181.23760986328125,870,0.5028473734855652,45,-2.588623523712158,40000,208.56,-109.87005713
68099,-16.649019241333008,0.11097853630781174,0.0007,8100,-0.29603660106658936,870,0.5006721019744873,46,-2.5838849544525146,40500,207.67,-109.89207822000002
68199,0.2445736527442932,1202.69287109375,0.0007,8200,-41.350494384765625,870,0.5005545616149902,47,-2.59332275390625,41000,205.83,-109.29289031
68299,-1.5999999046325684,1.273292560798056e-12,0.0007,8300,9.532452054372698e-07,870,0.5010833144187927,47,-2.5973610877990723,41500,206.9,-109.14003468000001
68399,-0.00011146068572998047,2.8768572519766167e-05,0.0007,8400,0.022151468321681023,870,0.5016060471534729,48,-2.598043203353882,42000,206.9,-109.14003468000001
68499,0.7478803396224976,0.00015641604841221124,0.0007,8500,-0.02669326774775982,871,0.5025365948677063,48,-2.598959445953369,42500,206.9,-109.14003468000001
68599,0.4282219409942627,0.017340149730443954,0.0007,8600,0.2333584576845169,871,0.5069453716278076,49,-2.6235294342041016,43000,218.29,-110.00047803
68699,0.26743316650390625,2376.134521484375,0.0007,8700,-71.77306365966797,870,0.5069215297698975,49,-2.6300153732299805,43500,216.87,-109.84609235999999
68799,-1.3709423542022705,0.08149446547031403,0.0007,8800,-0.12790636718273163,870,0.503993570804596,50,-2.6076595783233643,44000,217.27,-109.80463247
68899,-7.606296539306641,0.8743831515312195,0.0007,8900,-1.445264220237732,870,0.5020439624786377,51,-2.6011643409729004,44500,218.27,-110.00366126999998
68999,-3.433354377746582,0.11894228309392929,0.0007,9000,0.5339159965515137,870,0.5010687708854675,51,-2.599242925643921,45000,219.42,-110.38431612000001
69099,-0.17391741275787354,0.17644523084163666,0.0007,9100,-0.9853804707527161,870,0.502060055732727,52,-2.5973947048187256,45500,221.12,-110.39158280000001
69199,-3.049581527709961,0.21652726829051971,0.0007,9200,0.8420751690864563,870,0.503216028213501,52,-2.6156959533691406,46000,221.99,-110.31696870000002
69299,-1.5313453674316406,0.171498104929924,0.0007,9300,-1.0544542074203491,870,0.498811811208725,53,-2.584688663482666,46500,223.48,-110.44491287000002
69399,-3.808581829071045,0.5137762427330017,0.0007,9400,-2.5959386825561523,870,0.49628159403800964,53,-2.560960531234741,47000,222.11,-110.12608275000001
69499,0.7035321593284607,0.0008037520456127822,0.0007,9500,0.039416659623384476,870,0.49559128284454346,54,-2.5619239807128906,47500,205.08,-108.98797038000001
69599,-1.8379242420196533,0.40828847885131836,0.0007,9600,1.3837145566940308,870,0.4985949993133545,55,-2.583127737045288,48000,204.83,-108.96225582999999
69699,-2.7841033935546875,0.1004546508193016,0.0007,9700,0.07569419592618942,870,0.49320924282073975,55,-2.545945882797241,48500,174.12,-107.72949610000003
69799,-8.674508094787598,0.0006629684357903898,0.0007,9800,0.08009488880634308,870,0.4922109842300415,56,-2.5437912940979004,49000,159.23,-107.07651910000003
69899,-60.18814468383789,0.17176298797130585,0.0007,9900,0.44026899337768555,870,0.4946458339691162,56,-2.5738675594329834,49500,160.92,-107.15655803999998
69999,-1.3861370086669922,0.4425922930240631,0.0007,10000,1.6496269702911377,870,0.49184978008270264,57,-2.546332359313965,50000,133.61,-106.32939367999998
70099,0.9551782608032227,0.0246769767254591,0.0007,10100,0.3637959659099579,870,0.48974186182022095,57,-2.5322272777557373,50500,121.97,-105.13410972
70199,0.8849483728408813,0.049011196941137314,0.0007,10200,0.3800855278968811,870,0.4896705448627472,58,-2.528836250305176,51000,121.69,-105.04469320999999
70299,-0.842725396156311,0.009791596792638302,0.0007,10300,0.26972100138664246,870,0.4927085041999817,59,-2.5451512336730957,51500,122.84,-104.98210101000001
70399,-1.2476840019226074,1.5989242792129517,0.0007,10400,2.06497859954834,870,0.4926756024360657,59,-2.546142578125,52000,122.97,-104.90258198
70499,-3.385476589202881,0.2927952706813812,0.0007,10500,-1.8071049451828003,870,0.4919912815093994,60,-2.5478851795196533,52500,123.59,-104.62951616999999
70599,0.9417073726654053,0.0036335818003863096,0.0007,10600,-0.12629441916942596,870,0.4935517907142639,60,-2.559171438217163,53000,124.48,-104.57855557
70699,0.4535813331604004,0.09846659749746323,0.0007,10700,0.6193036437034607,870,0.4904658794403076,61,-2.543718099594116,53500,126.09,-104.57548286000001
70799,-0.0004178285598754883,2.2563586753676645e-05,0.0007,10800,0.00229522748850286,870,0.4922217130661011,61,-2.552039861679077,54000,126.19,-104.63677817
70899,0.9972836375236511,0.1882246434688568,0.0007,10900,-1.0766361951828003,871,0.49207404255867004,62,-2.5571630001068115,54500,132.0,-105.58667296000003
70999,-38.62107467651367,0.40465980768203735,0.0007,11000,1.4768311977386475,871,0.4906425476074219,63,-2.552093267440796,55000,120.89,-104.56490277999997
71099,0.578246533870697,0.030633065849542618,0.0007,11100,0.2578299641609192,871,0.49371689558029175,63,-2.5764501094818115,55500,125.59,-104.98781440999997
71199,0.18256747722625732,0.05151314660906792,0.0007,11200,-0.41359344124794006,871,0.49366387724876404,64,-2.578238010406494,56000,126.35,-105.17206482999998
71299,-15.136909484863281,0.011808169074356556,0.0007,11300,0.19421826303005219,871,0.4960871934890747,64,-2.601187229156494,56500,126.35,-105.17206482999998
71399,-2.0377938747406006,0.008200510405004025,0.0007,11400,-0.02546517364680767,871,0.49695727229118347,65,-2.6053147315979004,57000,126.35,-105.17206482999998
71499,0.8955197930335999,0.12404856830835342,0.0007,11500,-1.4402178525924683,871,0.4981530010700226,65,-2.620445728302002,57500,140.65,-106.10003421000002
71599,-0.0001016855239868164,5.5142882047221065e-05,0.0007,11600,0.021756617352366447,871,0.4994955360889435,66,-2.626481056213379,58000,140.65,-106.10003421000002
71699,0.8428798317909241,0.7336253523826599,0.0007,11700,2.013427495956421,871,0.49938738346099854,67,-2.624617576599121,58500,148.96,-106.94365900000003
71799,-7.813422203063965,0.006682810839265585,0.0007,11800,0.03516889363527298,871,0.5004385113716125,67,-2.6282434463500977,59000,149.36,-106.95575287
71899,-11.43028450012207,0.04800204560160637,0.0007,11900,-0.0032482624519616365,871,0.49947553873062134,68,-2.621088743209839,59500,154.02,-107.23996090000003
